"","target_country","Date","Mission.Number","VIII.Ftr.Missions","VIII.Air.Support.Cmd","Target","Mission.Target.Type","Country","Notes","A.C.Type","Dispatched","Escorts","Recalled","RTB","Aborted","Lost.en.route","Bombed","Bombed.Opportunity","Target.Notes","Quantity","TimeOverTarget","Lost.return","Total.Lost","Interned","Crashed","Cat.E","Damaged","KIA","WIA","MIA","Claims.Destroyed","Probable","Damaged2","Gnd.Dest","Gnd.Prob","Gnd.DMG","Notes3","X4th.FG","X44.BG.H.","X91.BG.H.","X93.BG.H.","X97.BG.H.","X301.BG.H.","X303.BG.H.","X305.BG.H.","X306.BG.H.","X322.BG.M.","X323.BG.M.","X15.BS..LT.","lon","lat","lost_dispatched_ratio","has_weather","norway_denmark","target_type_2","distance","germany"
"36"," ,Belgium","7/25/1944",495,"","","","Escort","Belgium","","P-51",110,110,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"37"," ,Belgium","8/3/1944",513,"","","","","Belgium","2 AD Force 3","P-47",36,33,0,0,3,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,0,0,0,"",340.580324051365,0
"38"," ,Belgium","7/27/1944",498,"","","","Escort","Belgium","","P-51",0,0,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,Inf,0,0,"Escort",340.580324051365,0
"39"," ,Belgium","8/3/1944",513,"","","","","Belgium","2 AD Force 3","B-24",0,0,0,0,0,0,0,"1","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"",340.580324051365,0
"40"," ,Belgium","7/27/1944",498,"","","","Escort","Belgium","","P-38",154,154,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,1,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"41"," ,Belgium","7/27/1944",498,"","","","","Belgium","","B-24",0,0,0,0,0,0,0,"1","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"",340.580324051365,0
"42"," ,Belgium","7/27/1944",498,"","","","Escort","Belgium","","P-47",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"43"," ,Belgium","7/25/1944",495,"","","","Escort","Belgium","","P-38",26,26,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"45"," ,Europe","5/31/1944",382,"","","","Escort","Europe","","P-38",193,193,0,0,0,0,0,"","","","",0,0,0,0,0,1,0,0,0,0,"",0,1,0,0,"","","","","","","","","","","","","",15.2551187,54.5259614,NA,0,0,"Escort",1081.33716568278,0
"46"," ,Europe","5/31/1944",382,"","","","Escort","Europe","9th AF","",674,674,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",15.2551187,54.5259614,NA,0,0,"Escort",1081.33716568278,0
"47"," ,Europe","5/31/1944",382,"","","","Escort","Europe","","P-51",309,309,0,0,0,0,0,"","","","",0,2,0,0,0,0,0,0,2,0,"",0,3,0,1,"","","","","","","","","","","","","",15.2551187,54.5259614,Inf,0,0,"Escort",1081.33716568278,0
"48"," ,Europe","5/31/1944",382,"","","","Escort","Europe","","P-47",180,180,0,0,0,0,0,"","","","",0,1,0,0,0,3,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",15.2551187,54.5259614,Inf,0,0,"Escort",1081.33716568278,0
"49"," ,France","8/1/1944",508,"","","","","France","Force 3","B-17",0,0,0,0,0,0,0,"15","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"50"," ,France","6/15/1944",414,"","","","Escort","France","","P-47",202,202,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
