"","target_country","Date","Mission.Number","VIII.Ftr.Missions","VIII.Air.Support.Cmd","Target","Mission.Target.Type","Country","Notes","A.C.Type","Dispatched","Escorts","Recalled","RTB","Aborted","Lost.en.route","Bombed","Bombed.Opportunity","Target.Notes","Quantity","TimeOverTarget","Lost.return","Total.Lost","Interned","Crashed","Cat.E","Damaged","KIA","WIA","MIA","Claims.Destroyed","Probable","Damaged2","Gnd.Dest","Gnd.Prob","Gnd.DMG","Notes3","X4th.FG","X44.BG.H.","X91.BG.H.","X93.BG.H.","X97.BG.H.","X301.BG.H.","X303.BG.H.","X305.BG.H.","X306.BG.H.","X322.BG.M.","X323.BG.M.","X15.BS..LT.","lon","lat"
"1"," ,","4/9/1944",NA,"","","","Carpetbagger","","","B-24",23,NA,"",NA,NA,NA,23,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"2"," ,","4/9/1944",293,"","","","Escort","","","P-47",NA,387,"",NA,NA,NA,NA,"","","","",NA,"4",NA,NA,"1",2,2,NA,3,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"3"," ,","5/30/1944",381,"","","","","","","",NA,NA,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"4"," ,","4/11/1944",298,"","","","Escort","","","P-38",NA,124,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"5"," ,","4/17/1945",NA,"","","","","","","",NA,NA,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"6"," ,","4/16/1945",NA,"","","","","","","",NA,NA,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"7"," ,","4/15/1945",NA,"","","","","","","",NA,NA,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"8"," ,","4/11/1944",298,"","","","Escort","","","P-47",NA,454,"",NA,NA,NA,NA,"","","","",NA,"7",NA,NA,"",16,NA,NA,7,51,"5",25,NA,NA,NA,"65-0-67 gnd","","","","","","","","","","","","",-87.6788421,41.9034494
"9"," ,","8/19/1943",NA,"","26","","","","","B-26",NA,NA,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
"10"," ,","6/10/1944",NA,"","","","Ground Attack","","9th AF","B-26",400,NA,"",NA,NA,NA,NA,"","","","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","",-87.6788421,41.9034494
