"unit","rd","unit_type","total_kills","pilots_w_kills","aces","gt_20","entries","exits","ace_entries","ace_exits","sum_claims","date"
"E.Kdo 25",0,"JG",22,1,1,1,0,0,0,0,0,1943-08-01
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-08-01
"Jasta H.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-01
"Jasta Hg.",0,"JG",5,1,1,0,0,0,0,0,0,1943-08-01
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-08-01
"JG 1",1,"JG",560,51,22,6,0,0,0,0,0,1943-08-01
"JG 11",1,"JG",415,30,14,4,0,0,0,0,0,1943-08-01
"JG 2",1,"JG",948,63,40,14,0,0,0,0,0,1943-08-01
"JG 26",1,"JG",1045,64,46,17,0,0,0,0,0,1943-08-01
"JG 27",0,"JG",405,35,24,5,1,0,0,0,4,1943-08-01
"JG 27",1,"JG",429,28,19,6,0,0,0,0,0,1943-08-01
"JG 3",0,"JG",271,3,3,2,0,0,0,0,0,1943-08-01
"JG 3",1,"JG",2757,104,86,37,0,0,0,0,3,1943-08-01
"JG 4",1,"JG",71,6,3,2,2,0,0,0,6,1943-08-01
"JG 5",0,"JG",289,35,19,4,0,0,0,0,0,1943-08-01
"JG 51",0,"JG",2858,172,123,47,0,0,1,0,18,1943-08-01
"JG 52",0,"JG",2343,110,80,35,1,1,1,1,17,1943-08-01
"JG 53",0,"JG",946,74,43,16,0,0,0,0,1,1943-08-01
"JG 54",0,"JG",1951,88,71,32,1,1,0,1,12,1943-08-01
"JG 54",1,"JG",272,19,16,4,0,0,0,0,0,1943-08-01
"JG 77",0,"JG",1609,95,59,21,0,0,0,0,0,1943-08-01
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-01
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-01
"KG 40",0,"JG",50,13,5,0,0,0,1,0,3,1943-08-01
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-01
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-01
"NAGr. 4",0,"JG",10,3,1,0,0,0,0,0,0,1943-08-01
"NJG 1",1,"NJG",950,64,48,14,0,0,0,0,0,1943-08-01
"NJG 100",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-01
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-01
"NJG 2",1,"NJG",81,12,8,0,0,0,0,0,0,1943-08-01
"NJG 200 (ZG 1)",0,"ZG",18,1,1,0,0,0,0,0,0,1943-08-01
"NJG 3",1,"NJG",110,25,5,1,0,0,0,0,0,1943-08-01
"NJG 4",1,"NJG",217,19,14,3,0,0,0,0,0,1943-08-01
"NJG 5",1,"NJG",114,16,8,1,0,0,0,0,0,1943-08-01
"NJG 6",1,"NJG",4,1,0,0,0,0,0,0,1,1943-08-01
"Schl.G 1",0,"JG",2,1,0,0,0,0,0,0,0,1943-08-01
"Schl.G. 1",0,"JG",17,8,0,0,0,0,0,0,0,1943-08-01
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-01
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-08-01
"ZG 1",1,"ZG",53,13,4,0,0,0,0,0,0,1943-08-01
"ZG 2",0,"ZG",12,2,1,0,0,0,0,0,0,1943-08-01
"ZG 26",1,"ZG",70,12,6,0,0,0,0,0,0,1943-08-01
"ZG 76",1,"ZG",61,12,7,0,0,0,0,0,0,1943-08-01
"E.Kdo 25",0,"JG",22,1,1,1,0,0,0,0,0,1943-08-02
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-08-02
"Jasta H.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-02
"Jasta Hg.",0,"JG",5,1,1,0,0,0,0,0,0,1943-08-02
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-08-02
"JG 1",1,"JG",560,51,22,6,0,0,0,0,0,1943-08-02
"JG 11",1,"JG",415,30,14,4,0,0,0,0,0,1943-08-02
"JG 2",1,"JG",948,63,40,14,0,0,0,0,0,1943-08-02
"JG 26",1,"JG",1045,64,46,17,0,0,0,0,0,1943-08-02
"JG 27",0,"JG",209,19,9,2,0,0,0,0,0,1943-08-02
"JG 27",1,"JG",625,44,34,9,0,1,0,1,0,1943-08-02
"JG 3",0,"JG",271,3,3,2,0,0,0,0,0,1943-08-02
"JG 3",1,"JG",2747,103,85,37,0,0,0,0,0,1943-08-02
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-08-02
"JG 5",0,"JG",289,35,19,4,0,0,0,0,0,1943-08-02
"JG 51",0,"JG",2931,174,127,48,0,2,3,2,33,1943-08-02
"JG 52",0,"JG",2320,109,79,34,0,0,0,0,5,1943-08-02
"JG 53",0,"JG",946,74,43,16,0,0,0,0,0,1943-08-02
"JG 54",0,"JG",1973,87,70,32,0,0,0,0,16,1943-08-02
"JG 54",1,"JG",274,19,16,4,0,0,0,0,1,1943-08-02
"JG 77",0,"JG",1611,95,59,21,0,0,0,0,2,1943-08-02
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-02
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-02
"KG 40",0,"JG",53,13,5,0,0,0,0,0,3,1943-08-02
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-02
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-02
"NAGr. 4",0,"JG",11,3,1,0,0,0,0,0,1,1943-08-02
"NJG 1",1,"NJG",950,64,48,14,0,0,0,0,0,1943-08-02
"NJG 100",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-02
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-02
"NJG 2",1,"NJG",81,12,8,0,0,0,0,0,0,1943-08-02
"NJG 200 (ZG 1)",0,"ZG",18,1,1,0,0,0,0,0,0,1943-08-02
"NJG 3",1,"NJG",110,25,5,1,0,0,0,0,0,1943-08-02
"NJG 4",1,"NJG",217,19,14,3,0,0,0,0,0,1943-08-02
"NJG 5",1,"NJG",115,16,8,1,0,0,0,0,1,1943-08-02
"NJG 6",1,"NJG",4,1,0,0,0,0,0,0,0,1943-08-02
"Schl.G 1",0,"JG",2,1,0,0,0,0,0,0,0,1943-08-02
"Schl.G. 1",0,"JG",17,8,0,0,0,0,0,0,0,1943-08-02
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-02
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-08-02
"ZG 1",1,"ZG",53,13,4,0,0,0,0,0,0,1943-08-02
"ZG 2",0,"ZG",12,2,1,0,0,0,0,0,0,1943-08-02
"ZG 26",1,"ZG",70,12,6,0,0,0,0,0,0,1943-08-02
"ZG 76",1,"ZG",61,12,7,0,0,0,0,0,0,1943-08-02
"E.Kdo 25",0,"JG",22,1,1,1,0,0,0,0,0,1943-08-03
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-08-03
"Jasta H.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-03
"Jasta Hg.",0,"JG",5,1,1,0,0,0,0,0,0,1943-08-03
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-08-03
"JG 1",1,"JG",560,51,22,6,0,0,0,0,0,1943-08-03
"JG 11",1,"JG",415,30,14,4,0,0,0,0,0,1943-08-03
"JG 2",1,"JG",951,63,40,14,0,0,0,0,3,1943-08-03
"JG 26",1,"JG",1045,64,46,17,0,0,0,0,0,1943-08-03
"JG 27",0,"JG",209,19,9,2,0,0,0,0,0,1943-08-03
"JG 27",1,"JG",564,43,33,8,0,0,0,0,0,1943-08-03
"JG 3",0,"JG",271,3,3,2,0,0,0,0,0,1943-08-03
"JG 3",1,"JG",2747,103,85,37,0,0,0,0,0,1943-08-03
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-08-03
"JG 5",0,"JG",289,35,19,4,0,0,0,0,0,1943-08-03
"JG 51",0,"JG",2928,172,126,47,0,0,1,0,22,1943-08-03
"JG 52",0,"JG",2349,110,79,35,1,1,0,1,13,1943-08-03
"JG 53",0,"JG",946,74,43,16,0,0,0,0,0,1943-08-03
"JG 54",0,"JG",1982,87,70,32,0,1,0,1,6,1943-08-03
"JG 54",1,"JG",274,19,16,4,0,0,0,0,0,1943-08-03
"JG 77",0,"JG",1614,95,59,21,0,0,0,0,3,1943-08-03
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-03
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-03
"KG 40",0,"JG",53,13,5,0,0,0,0,0,0,1943-08-03
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-03
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-03
"NAG 4",0,"JG",9,1,1,0,0,0,0,0,1,1943-08-03
"NAGr. 4",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-03
"NJG 1",1,"NJG",957,64,48,15,0,0,0,0,4,1943-08-03
"NJG 100",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-03
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-03
"NJG 2",1,"NJG",81,12,8,0,0,0,0,0,0,1943-08-03
"NJG 200 (ZG 1)",0,"ZG",18,1,1,0,0,0,0,0,0,1943-08-03
"NJG 3",1,"NJG",114,26,5,1,1,0,0,0,3,1943-08-03
"NJG 4",1,"NJG",217,19,14,3,0,0,0,0,0,1943-08-03
"NJG 5",1,"NJG",116,17,8,1,1,0,0,0,1,1943-08-03
"NJG 6",1,"NJG",4,1,0,0,0,0,0,0,0,1943-08-03
"Schl.G 1",0,"JG",4,2,0,0,0,0,0,0,1,1943-08-03
"Schl.G. 1",0,"JG",16,7,0,0,0,0,0,0,0,1943-08-03
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-03
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-08-03
"ZG 1",1,"ZG",53,13,4,0,0,0,0,0,0,1943-08-03
"ZG 2",0,"ZG",12,2,1,0,0,0,0,0,0,1943-08-03
"ZG 26",1,"ZG",70,12,6,0,0,0,0,0,0,1943-08-03
"ZG 76",1,"ZG",61,12,7,0,0,0,0,0,0,1943-08-03
"E.Kdo 25",0,"JG",22,1,1,1,0,0,0,0,0,1943-08-04
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-08-04
"Jasta H.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-04
"Jasta Hg.",0,"JG",5,1,1,0,0,0,0,0,0,1943-08-04
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-08-04
"JG 1",1,"JG",560,51,22,6,0,0,0,0,0,1943-08-04
"JG 11",1,"JG",415,30,14,4,0,0,0,0,0,1943-08-04
"JG 2",1,"JG",951,63,40,14,0,0,0,0,0,1943-08-04
"JG 26",1,"JG",1045,64,46,17,0,0,0,0,0,1943-08-04
"JG 27",0,"JG",209,19,9,2,0,0,0,0,0,1943-08-04
"JG 27",1,"JG",564,43,33,8,0,0,0,0,0,1943-08-04
"JG 3",0,"JG",271,3,3,2,0,0,0,0,0,1943-08-04
"JG 3",1,"JG",2747,103,85,37,0,0,0,0,0,1943-08-04
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-08-04
"JG 5",0,"JG",289,35,19,4,0,0,0,0,0,1943-08-04
"JG 51",0,"JG",2965,173,129,48,1,0,2,0,25,1943-08-04
"JG 52",0,"JG",2396,111,81,35,2,0,3,0,22,1943-08-04
"JG 53",0,"JG",946,74,43,16,0,0,0,0,0,1943-08-04
"JG 54",0,"JG",2005,86,69,32,0,3,0,3,12,1943-08-04
"JG 54",1,"JG",274,19,16,4,0,0,0,0,0,1943-08-04
"JG 77",0,"JG",1614,95,59,21,0,0,0,0,0,1943-08-04
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-04
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-04
"KG 40",0,"JG",53,13,5,0,0,0,0,0,0,1943-08-04
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-04
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-04
"NAG 4",0,"JG",10,1,1,0,0,0,0,0,1,1943-08-04
"NAGr. 4",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-04
"NJG 1",1,"NJG",957,64,48,15,0,0,0,0,0,1943-08-04
"NJG 100",0,"NJG",23,3,2,0,0,0,0,0,1,1943-08-04
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-04
"NJG 2",1,"NJG",81,12,8,0,0,0,0,0,0,1943-08-04
"NJG 200 (ZG 1)",0,"ZG",18,1,1,0,0,0,0,0,0,1943-08-04
"NJG 3",1,"NJG",114,26,5,1,0,0,0,0,0,1943-08-04
"NJG 4",1,"NJG",217,19,14,3,0,0,0,0,0,1943-08-04
